time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,73,23,1,1
2026-07-04 00:00:00+00:00,39,20,0,0
2026-07-05 00:00:00+00:00,22,9,0,0
2026-07-06 00:00:00+00:00,37,16,0,0
2026-07-07 00:00:00+00:00,21,10,0,0
2026-07-08 00:00:00+00:00,61,24,0,0
2026-07-09 00:00:00+00:00,43,19,0,0
2026-07-10 00:00:00+00:00,63,19,5,4
2026-07-11 00:00:00+00:00,19,5,0,0
2026-07-12 00:00:00+00:00,62,29,6,4
2026-07-13 00:00:00+00:00,26,9,0,0
2026-07-14 00:00:00+00:00,21,8,0,0
2026-07-15 00:00:00+00:00,30,12,0,0
2026-07-16 00:00:00+00:00,14,7,0,0
