time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-02 00:00:00+00:00,0,0,0,0
2026-06-03 00:00:00+00:00,0,0,0,0
2026-06-04 00:00:00+00:00,0,0,0,0
2026-06-05 00:00:00+00:00,0,0,0,0
2026-06-06 00:00:00+00:00,50,1,0,0
2026-06-07 00:00:00+00:00,69,31,0,0
2026-06-08 00:00:00+00:00,273,77,9,7
2026-06-09 00:00:00+00:00,453,82,1,1
2026-06-10 00:00:00+00:00,130,34,2,1
2026-06-11 00:00:00+00:00,32,13,0,0
2026-06-12 00:00:00+00:00,4,2,1,1
2026-06-13 00:00:00+00:00,11,5,0,0
2026-06-14 00:00:00+00:00,36,15,0,0
2026-06-15 00:00:00+00:00,2,2,0,0
